bin_start,bin_end,bin_label,dip_count,rise_count,total_count
0,1.0,0-1.0,0,0,0
1,2.0,1-2.0,0,0,0
2,3.0,2-3.0,0,0,0
3,4.0,3-4.0,0,0,0
4,5.0,4-5.0,0,0,0
5,6.0,5-6.0,0,0,0
6,7.0,6-7.0,94,62,156
7,8.0,7-8.0,62,66,128
8,9.0,8-9.0,93,40,133
9,10.0,9-10.0,36,36,72
10,11.0,10-11.0,27,25,52
11,12.0,11-12.0,24,22,46
12,13.0,12-13.0,24,18,42
13,14.0,13-14.0,3,4,7
14,15.0,14-15.0,11,8,19
15,16.0,15-16.0,0,6,6
16,17.0,16-17.0,5,12,17
17,18.0,17-18.0,4,1,5
18,19.0,18-19.0,7,6,13
19,20.0,19-20.0,0,9,9
