timestamp,current_price,NBM_dips_remaining_1,NBM_dips_remaining_1.5,NBM_dips_remaining_2,NBM_dips_remaining_2.5,NBM_dips_remaining_3,NBM_dips_remaining_4,NBM_dips_remaining_5,NBM_position_1,NBM_position_1.5,NBM_position_2,NBM_position_2.5,NBM_position_3,NBM_position_4,NBM_position_5,NAM_rises_remaining_1,NAM_rises_remaining_1.5,NAM_rises_remaining_2,NAM_rises_remaining_2.5,NAM_rises_remaining_3,NAM_rises_remaining_4,NAM_rises_remaining_5,NAM_position_1,NAM_position_1.5,NAM_position_2,NAM_position_2.5,NAM_position_3,NAM_position_4,NAM_position_5,NBM_dip_bps_1,NBM_percentile_1,NBM_dip_bps_1.5,NBM_percentile_1.5,NBM_dip_bps_2,NBM_percentile_2,NBM_dip_bps_2.5,NBM_percentile_2.5,NBM_dip_bps_3,NBM_percentile_3,NBM_dip_bps_4,NBM_percentile_4,NBM_dip_bps_5,NBM_percentile_5,NBM_anchor_point_1,NBM_anchor_point_1.5,NBM_anchor_point_2,NBM_anchor_point_2.5,NBM_anchor_point_3,NBM_anchor_point_4,NBM_anchor_point_5,NAM_rises_bps_1,NAM_percentile_1,NAM_rises_bps_1.5,NAM_percentile_1.5,NAM_rises_bps_2,NAM_percentile_2,NAM_rises_bps_2.5,NAM_percentile_2.5,NAM_rises_bps_3,NAM_percentile_3,NAM_rises_bps_4,NAM_percentile_4,NAM_rises_bps_5,NAM_percentile_5,NAM_anchor_point_1,NAM_anchor_point_1.5,NAM_anchor_point_2,NAM_anchor_point_2.5,NAM_anchor_point_3,NAM_anchor_point_4,NAM_anchor_point_5
2025-07-25 10:20:05,110.90625,20.5,20.5,22.4,23.48,23.66,24.32,24.53,109.625,109.625,109.50625,109.43875,109.4275,109.38625,109.373125,22.1,22.48,20.84,21.43,19.2,19.79,21.8,112.2875,112.31125,112.20875,112.245625,112.10625,112.143125,112.26875,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,110.9375,110.9375,110.9375,110.9375,110.9375,110.9375,110.9375,0.25,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.5,0.0,4.5,0.0,4.5,0.0,110.890625,110.90625,110.78125,110.78125,110.625,110.625,110.625
2025-07-25 10:20:10,110.90625,20.5,20.5,22.4,23.48,23.66,24.32,24.53,109.625,109.625,109.50625,109.43875,109.4275,109.38625,109.373125,22.1,22.48,20.84,21.43,19.2,19.79,21.8,112.2875,112.31125,112.20875,112.245625,112.10625,112.143125,112.26875,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,110.9375,110.9375,110.9375,110.9375,110.9375,110.9375,110.9375,0.25,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.5,0.0,4.5,0.0,4.5,0.0,110.890625,110.90625,110.78125,110.78125,110.625,110.625,110.625
2025-07-25 10:21:34,110.8125,20.75,20.75,22.4,23.48,21.91,22.57,22.78,109.515625,109.515625,109.4125,109.345,109.443125,109.401875,109.38875,21.6,21.73,21.34,21.93,22.2,22.79,23.3,112.1625,112.170625,112.14625,112.183125,112.2,112.236875,112.26875,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.0,2.25,0.0,2.25,0.0,2.25,0.0,110.828125,110.828125,110.84375,110.84375,110.953125,110.953125,110.953125,0.75,0.0,0.75,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,3.0,0.0,110.765625,110.765625,110.71875,110.71875,110.71875,110.71875,110.625
2025-07-25 10:21:39,110.8125,20.75,20.75,22.4,23.48,21.91,22.57,22.78,109.515625,109.515625,109.4125,109.345,109.443125,109.401875,109.38875,21.6,21.73,21.34,21.93,22.2,22.79,23.3,112.1625,112.170625,112.14625,112.183125,112.2,112.236875,112.26875,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.0,2.25,0.0,2.25,0.0,2.25,0.0,110.828125,110.828125,110.84375,110.84375,110.953125,110.953125,110.953125,0.75,0.0,0.75,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,3.0,0.0,110.765625,110.765625,110.71875,110.71875,110.71875,110.71875,110.625
2025-07-25 10:21:44,110.8125,20.75,20.75,22.4,23.48,21.91,22.57,22.78,109.515625,109.515625,109.4125,109.345,109.443125,109.401875,109.38875,21.6,21.73,21.34,21.93,22.2,22.79,23.3,112.1625,112.170625,112.14625,112.183125,112.2,112.236875,112.26875,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.0,2.25,0.0,2.25,0.0,2.25,0.0,110.828125,110.828125,110.84375,110.84375,110.953125,110.953125,110.953125,0.75,0.0,0.75,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,3.0,0.0,110.765625,110.765625,110.71875,110.71875,110.71875,110.71875,110.625
2025-07-25 10:21:49,110.8125,20.75,20.75,22.4,23.48,21.91,22.57,22.78,109.515625,109.515625,109.4125,109.345,109.443125,109.401875,109.38875,21.6,21.73,21.34,21.93,22.2,22.79,23.3,112.1625,112.170625,112.14625,112.183125,112.2,112.236875,112.26875,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.0,2.25,0.0,2.25,0.0,2.25,0.0,110.828125,110.828125,110.84375,110.84375,110.953125,110.953125,110.953125,0.75,0.0,0.75,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,3.0,0.0,110.765625,110.765625,110.71875,110.71875,110.71875,110.71875,110.625
2025-07-25 10:21:54,110.8125,20.75,20.75,22.4,23.48,21.91,22.57,22.78,109.515625,109.515625,109.4125,109.345,109.443125,109.401875,109.38875,21.6,21.73,21.34,21.93,22.2,22.79,23.3,112.1625,112.170625,112.14625,112.183125,112.2,112.236875,112.26875,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.0,2.25,0.0,2.25,0.0,2.25,0.0,110.828125,110.828125,110.84375,110.84375,110.953125,110.953125,110.953125,0.75,0.0,0.75,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,3.0,0.0,110.765625,110.765625,110.71875,110.71875,110.71875,110.71875,110.625
2025-07-25 10:21:59,110.8125,20.75,20.75,22.4,23.48,21.91,22.57,22.78,109.515625,109.515625,109.4125,109.345,109.443125,109.401875,109.38875,21.6,21.73,21.34,21.93,22.2,22.79,23.3,112.1625,112.170625,112.14625,112.183125,112.2,112.236875,112.26875,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.0,2.25,0.0,2.25,0.0,2.25,0.0,110.828125,110.828125,110.84375,110.84375,110.953125,110.953125,110.953125,0.75,0.0,0.75,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,3.0,0.0,110.765625,110.765625,110.71875,110.71875,110.71875,110.71875,110.625
2025-07-25 10:22:04,110.8125,20.75,20.75,22.4,23.48,21.91,22.57,22.78,109.515625,109.515625,109.4125,109.345,109.443125,109.401875,109.38875,21.6,21.73,21.34,21.93,22.2,22.79,23.3,112.1625,112.170625,112.14625,112.183125,112.2,112.236875,112.26875,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.0,2.25,0.0,2.25,0.0,2.25,0.0,110.828125,110.828125,110.84375,110.84375,110.953125,110.953125,110.953125,0.75,0.0,0.75,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,3.0,0.0,110.765625,110.765625,110.71875,110.71875,110.71875,110.71875,110.625
2025-07-25 10:22:09,110.8125,20.75,20.75,22.4,23.48,21.91,22.57,22.78,109.515625,109.515625,109.4125,109.345,109.443125,109.401875,109.38875,21.6,21.73,21.34,21.93,22.2,22.79,23.3,112.1625,112.170625,112.14625,112.183125,112.2,112.236875,112.26875,0.25,0.0,0.25,0.0,0.5,0.0,0.5,0.0,2.25,0.0,2.25,0.0,2.25,0.0,110.828125,110.828125,110.84375,110.84375,110.953125,110.953125,110.953125,0.75,0.0,0.75,0.0,1.5,0.0,1.5,0.0,1.5,0.0,1.5,0.0,3.0,0.0,110.765625,110.765625,110.71875,110.71875,110.71875,110.71875,110.625
