2025-07-21 17:28:28,469 | INFO | __main__ | Processed 307 new fills. Latest timestamp: 1752848901387752798
2025-07-21 17:28:32,136 | INFO | __main__ | Received signal 2, shutting down gracefully...
2025-07-21 17:29:28,470 | INFO | __main__ | Fill Monitor stopped
2025-07-21 17:29:28,472 | INFO | __main__ | Monitoring session completed
2025-07-21 17:30:20,817 | INFO | __main__ | ============================================================
2025-07-21 17:30:20,818 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-21 17:30:20,818 | INFO | __main__ | ============================================================
2025-07-21 17:30:20,819 | INFO | __main__ | Environment: SIM
2025-07-21 17:30:20,819 | INFO | __main__ | Poll interval: 60 seconds
2025-07-21 17:30:20,819 | INFO | __main__ | Output directory: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-21 17:30:20,820 | INFO | __main__ | Max retries: 5
2025-07-21 17:30:20,820 | INFO | __main__ | ============================================================
2025-07-21 17:30:20,820 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-21 17:30:20,821 | INFO | __main__ | ============================================================
2025-07-21 17:30:20,823 | INFO | __main__ | Initialized CSV file: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder\continuous_fills.csv
2025-07-21 17:30:20,824 | INFO | __main__ | Starting Fill Monitor...
2025-07-21 17:30:21,143 | INFO | __main__ | Token manager initialized successfully
2025-07-21 17:30:21,753 | INFO | __main__ | Retrieved 31 fills from API
2025-07-21 17:30:22,215 | INFO | __main__ | Successfully loaded market enums
2025-07-21 17:30:32,307 | INFO | __main__ | Saved 31 new unique fills to CSV
2025-07-21 17:30:32,308 | INFO | __main__ | Processed 31 new fills. Latest timestamp: 1752863709629237202
2025-07-21 17:31:32,803 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:32:33,153 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:33:33,511 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:34:33,971 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:35:34,488 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:36:35,007 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:37:35,364 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:38:35,903 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:39:36,214 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:40:36,772 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:41:37,134 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:42:37,477 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:43:38,024 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:44:38,500 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:45:39,020 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:46:39,415 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:47:39,944 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:48:40,281 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:49:40,560 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:50:41,192 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:51:41,505 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:52:42,019 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:53:42,368 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:54:42,909 | INFO | __main__ | Retrieved 1 fills from API
2025-07-21 17:54:49,091 | INFO | __main__ | Received signal 2, shutting down gracefully...
2025-07-21 17:55:42,911 | INFO | __main__ | Fill Monitor stopped
2025-07-21 17:55:42,912 | INFO | __main__ | Monitoring session completed
2025-07-21 18:19:19,717 | INFO | __main__ | ============================================================
2025-07-21 18:19:19,718 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-21 18:19:19,718 | INFO | __main__ | ============================================================
2025-07-21 18:19:19,719 | INFO | __main__ | Environment: LIVE
2025-07-21 18:19:19,719 | INFO | __main__ | Poll interval: 60 seconds
2025-07-21 18:19:19,720 | INFO | __main__ | Output directory: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-21 18:19:19,720 | INFO | __main__ | Max retries: 5
2025-07-21 18:19:19,720 | INFO | __main__ | ============================================================
2025-07-21 18:19:19,720 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-21 18:19:19,721 | INFO | __main__ | ============================================================
2025-07-21 18:19:19,723 | INFO | __main__ | Initialized CSV file: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder\continuous_fills.csv
2025-07-21 18:19:19,723 | INFO | __main__ | Starting Fill Monitor...
2025-07-21 18:19:19,724 | ERROR | __main__ | Failed to setup token manager: LIVE environment selected but TT_LIVE_API_KEY/SECRET not found in tt_config.py
2025-07-21 18:19:19,724 | ERROR | __main__ | Failed to setup token manager, exiting
2025-07-21 18:19:19,724 | INFO | __main__ | Monitoring session completed
2025-07-21 18:39:38,793 | INFO | __main__ | ============================================================
2025-07-21 18:39:38,794 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-21 18:39:38,794 | INFO | __main__ | ============================================================
2025-07-21 18:39:38,795 | INFO | __main__ | Environment: LIVE
2025-07-21 18:39:38,795 | INFO | __main__ | Poll interval: 60 seconds
2025-07-21 18:39:38,796 | INFO | __main__ | Output directory: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-21 18:39:38,796 | INFO | __main__ | Max retries: 5
2025-07-21 18:39:38,796 | INFO | __main__ | ============================================================
2025-07-21 18:39:38,797 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-21 18:39:38,797 | INFO | __main__ | ============================================================
2025-07-21 18:39:38,800 | INFO | __main__ | Initialized CSV file: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder\continuous_fills.csv
2025-07-21 18:39:38,800 | INFO | __main__ | Starting Fill Monitor...
2025-07-21 18:39:39,168 | INFO | __main__ | Token manager initialized successfully
2025-07-21 18:39:39,307 | ERROR | __main__ | API request failed: 400 Client Error: Bad Request for url: https://ttrestapi.trade.tt/ttledger/ext_prod_live/fills?requestId=DAS---9e89f2c7-f3c3-4938-bf2d-46ff37eb5f6c
2025-07-21 18:39:39,309 | WARNING | __main__ | API error #1, retrying in 60 seconds
2025-07-21 18:40:39,485 | ERROR | __main__ | API request failed: 400 Client Error: Bad Request for url: https://ttrestapi.trade.tt/ttledger/ext_prod_live/fills?requestId=DAS---0fa68399-b83f-4040-9647-036dd4ec38b2
2025-07-21 18:40:39,487 | WARNING | __main__ | API error #2, retrying in 60 seconds
2025-07-21 18:40:42,048 | INFO | __main__ | Received signal 2, shutting down gracefully...
2025-07-21 18:41:39,488 | INFO | __main__ | Fill Monitor stopped
2025-07-21 18:41:39,489 | INFO | __main__ | Monitoring session completed
2025-07-21 18:42:33,280 | INFO | __main__ | ============================================================
2025-07-21 18:42:33,281 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-21 18:42:33,282 | INFO | __main__ | ============================================================
2025-07-21 18:42:33,282 | INFO | __main__ | Environment: LIVE
2025-07-21 18:42:33,283 | INFO | __main__ | Poll interval: 60 seconds
2025-07-21 18:42:33,283 | INFO | __main__ | Output directory: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-21 18:42:33,284 | INFO | __main__ | Max retries: 5
2025-07-21 18:42:33,284 | INFO | __main__ | ============================================================
2025-07-21 18:42:33,285 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-21 18:42:33,285 | INFO | __main__ | ============================================================
