2025-07-22 10:08:36,310 | INFO | __main__ | ============================================================
2025-07-22 10:08:36,311 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-22 10:08:36,311 | INFO | __main__ | ============================================================
2025-07-22 10:08:36,311 | INFO | __main__ | Environment: LIVE
2025-07-22 10:08:36,312 | INFO | __main__ | Poll interval: 10 seconds
2025-07-22 10:08:36,312 | INFO | __main__ | Output directory: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-22 10:08:36,312 | INFO | __main__ | Max retries: 5
2025-07-22 10:08:36,317 | INFO | __main__ | ============================================================
2025-07-22 10:08:36,317 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-22 10:08:36,317 | INFO | __main__ | ============================================================
2025-07-22 10:08:36,329 | INFO | __main__ | Starting Fill Monitor...
2025-07-22 10:08:36,330 | INFO | __main__ | Token manager initialized successfully
2025-07-22 10:08:36,335 | INFO | __main__ | Resuming from timestamp: 1753136436986086819
2025-07-22 10:08:37,035 | INFO | __main__ | Retrieved 5 fills from API
2025-07-22 10:08:37,538 | INFO | __main__ | Successfully loaded market enums
2025-07-22 10:08:39,974 | INFO | __main__ | Saved 4 new unique fills to CSV
2025-07-22 10:08:39,975 | INFO | __main__ | Processed 4 new fills. Latest timestamp: 1753192962758032410
2025-07-22 10:08:50,380 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:09:01,460 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:09:11,679 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:09:21,901 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:09:32,249 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:09:42,842 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:09:53,022 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:10:03,277 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:10:13,531 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:10:23,764 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:10:33,965 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:10:44,353 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:10:54,588 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:11:04,945 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:11:15,123 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:11:25,330 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:11:35,589 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:11:45,909 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:11:56,162 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:12:06,362 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:12:16,617 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:12:26,800 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:12:36,976 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:12:47,353 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:12:57,648 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:13:07,817 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:13:17,997 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:13:28,278 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:13:38,474 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:13:48,838 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:13:59,021 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:14:09,220 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:14:19,415 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:14:30,053 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:14:40,452 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:14:50,832 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:15:01,023 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:15:12,314 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:15:22,548 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:15:32,856 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:15:43,294 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:15:53,763 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:16:03,992 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:16:14,410 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:16:24,857 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:16:35,069 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:16:45,253 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:16:55,580 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:17:05,897 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:17:16,161 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:17:26,393 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:17:36,622 | INFO | __main__ | Retrieved 1 fills from API
2025-07-22 10:17:46,870 | INFO | __main__ | Retrieved 1 fills from API
