2025-08-05 14:15:08,793 | INFO | __main__ | ============================================================
2025-08-05 14:15:08,794 | INFO | __main__ | TT Continuous Fill Monitor
2025-08-05 14:15:08,794 | INFO | __main__ | ============================================================
2025-08-05 14:15:08,795 | INFO | __main__ | Environment: SIM
2025-08-05 14:15:08,795 | INFO | __main__ | Poll interval: 1 seconds
2025-08-05 14:15:08,795 | INFO | __main__ | Output directory: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone - Yaman\data\output\ladder
2025-08-05 14:15:08,796 | INFO | __main__ | Max retries: 5
2025-08-05 14:15:08,796 | INFO | __main__ | ============================================================
2025-08-05 14:15:08,797 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-08-05 14:15:08,797 | INFO | __main__ | ============================================================
2025-08-05 14:15:08,809 | INFO | __main__ | Starting Fill Monitor...
2025-08-05 14:15:09,051 | INFO | __main__ | Token manager initialized successfully
2025-08-05 14:15:09,063 | INFO | __main__ | Resuming from timestamp: 1754330647960743687
2025-08-05 14:15:10,552 | INFO | __main__ | Retrieved 2 fills from API
2025-08-05 14:15:12,912 | INFO | __main__ | Successfully loaded market enums
2025-08-05 14:15:15,721 | INFO | __main__ | Saved 1 new unique fills to CSV
2025-08-05 14:15:15,722 | INFO | __main__ | Processed 1 new fills. Latest timestamp: 1754417696899931375
2025-08-05 14:15:17,092 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:18,487 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:19,683 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:21,058 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:22,259 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:23,430 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:24,598 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:25,778 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:27,005 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:28,275 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:29,463 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:30,666 | INFO | __main__ | Retrieved 2 fills from API
2025-08-05 14:15:31,195 | INFO | __main__ | Saved 1 new unique fills to CSV
2025-08-05 14:15:31,195 | INFO | __main__ | Processed 1 new fills. Latest timestamp: 1754417732289526690
2025-08-05 14:15:32,473 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:33,678 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:34,878 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:36,076 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:37,314 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:38,500 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:39,695 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:40,916 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:42,116 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:43,298 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:44,528 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:45,779 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:47,038 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:48,237 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:49,399 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:50,598 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:51,828 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:53,016 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:54,305 | INFO | __main__ | Retrieved 2 fills from API
2025-08-05 14:15:54,872 | INFO | __main__ | Saved 1 new unique fills to CSV
2025-08-05 14:15:54,873 | INFO | __main__ | Processed 1 new fills. Latest timestamp: 1754417755764928394
2025-08-05 14:15:56,042 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:57,303 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:58,528 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:15:59,724 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:01,064 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:02,311 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:03,571 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:04,754 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:05,996 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:07,249 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:08,517 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:09,694 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:10,880 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:12,319 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:13,519 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:14,773 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:15,957 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:17,180 | INFO | __main__ | Retrieved 1 fills from API
2025-08-05 14:16:18,377 | INFO | __main__ | Retrieved 1 fills from API
