2025-07-28 17:02:52,030 | INFO | __main__ | ============================================================
2025-07-28 17:02:52,031 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-28 17:02:52,032 | INFO | __main__ | ============================================================
2025-07-28 17:02:52,033 | INFO | __main__ | Environment: SIM
2025-07-28 17:02:52,033 | INFO | __main__ | Poll interval: 60 seconds
2025-07-28 17:02:52,033 | INFO | __main__ | Output directory: c:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone - Yaman\data\output\ladder
2025-07-28 17:02:52,034 | INFO | __main__ | Max retries: 5
2025-07-28 17:02:52,039 | INFO | __main__ | ============================================================
2025-07-28 17:02:52,039 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-28 17:02:52,040 | INFO | __main__ | ============================================================
2025-07-28 17:02:52,055 | INFO | __main__ | Starting Fill Monitor...
2025-07-28 17:02:52,313 | INFO | __main__ | Token manager initialized successfully
2025-07-28 17:02:52,322 | INFO | __main__ | Resuming from timestamp: 1753385657675470808
2025-07-28 17:02:53,199 | INFO | __main__ | Retrieved 97 fills from API
2025-07-28 17:02:54,776 | INFO | __main__ | Successfully loaded market enums
2025-07-28 17:03:07,208 | INFO | __main__ | Received signal 2, shutting down gracefully...
2025-07-28 17:03:24,188 | INFO | __main__ | Saved 96 new unique fills to CSV
2025-07-28 17:03:24,188 | INFO | __main__ | Processed 96 new fills. Latest timestamp: 1753732492219811837
2025-07-28 17:04:24,190 | INFO | __main__ | Fill monitor stopped.
2025-07-28 17:04:24,191 | INFO | __main__ | Monitoring session completed.
2025-07-28 17:06:53,815 | INFO | __main__ | ============================================================
2025-07-28 17:06:53,816 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-28 17:06:53,817 | INFO | __main__ | ============================================================
2025-07-28 17:06:53,818 | INFO | __main__ | Environment: SIM
2025-07-28 17:06:53,818 | INFO | __main__ | Poll interval: 5 seconds
2025-07-28 17:06:53,819 | INFO | __main__ | Output directory: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone - Yaman\data\output\ladder
2025-07-28 17:06:53,820 | INFO | __main__ | Max retries: 5
2025-07-28 17:06:53,820 | INFO | __main__ | ============================================================
2025-07-28 17:06:53,821 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-28 17:06:53,821 | INFO | __main__ | ============================================================
2025-07-28 17:06:53,836 | INFO | __main__ | Starting Fill Monitor...
2025-07-28 17:06:53,838 | INFO | __main__ | Token manager initialized successfully
2025-07-28 17:06:53,844 | INFO | __main__ | Resuming from timestamp: 1753732492219811837
2025-07-28 17:06:54,374 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:06:59,835 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:07:05,203 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:07:10,483 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:07:15,743 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:07:20,987 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:07:26,278 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:07:31,548 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:07:36,810 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:07:42,070 | INFO | __main__ | Retrieved 1 fills from API
2025-07-28 17:07:47,281 | INFO | __main__ | Retrieved 2 fills from API
2025-07-28 17:07:47,713 | INFO | __main__ | Successfully loaded market enums
2025-07-28 17:07:50,195 | INFO | __main__ | Saved 1 new unique fills to CSV
2025-07-28 17:07:50,196 | INFO | __main__ | Processed 1 new fills. Latest timestamp: 1753736866166204983
